itemid,locationid,transactiondate,transferquantity
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-06,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-10-17,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-05,-3
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-05-13,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-01-18,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-12-11,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-12-19,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2020-01-31,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-11-21,-1
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2019-02-06,0
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-06-27,-1
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-06,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-24,-36
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-29,-3
a0W5700000OaJ2cEAF,a0X57000011fDGvEAM,2019-10-07,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-09,-1
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-02,-1
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-26,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-12-23,-3
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-29,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-02,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-26,-2
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-01-31,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-22,-7
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-10,-52
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-02-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-07,-11
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-05-29,-16
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-25,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-07,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-14,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-01-11,-10
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-11-06,0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-26,-21
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-03,-46
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-25,-84
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-07-29,-1
a0W5700000OaJ2cEAF,a0X57000011fDIhEAM,2020-03-27,1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-08-17,44
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-10,-7
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-01-21,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-05-25,-1
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2019-02-15,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-02-08,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-07-12,-2
