ItemId,LocationId,BalanceDate,InventoryBalance
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-04,1
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-20,2
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-19,9
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-27,8
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-05,9
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-06,8
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-26,9
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-31,7
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-08,4
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-14,3
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-20,0
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-23,3
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-24,4
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-28,3
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-29,4
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-04,5
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-07,4
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-18,7
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-03,9
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-26,10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-31,10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-09,12
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-12,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-16,12
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-19,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-09,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-17,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-20,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-24,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-05,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-02-26,12
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-06,15
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-07,11
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-13,12
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-18,16
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-29,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-08,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-16,15
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-24,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-26,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-02,12
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-13,15
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-15,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-20,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-31,16
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-06-06,13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-06-13,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-06-19,15
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-06-27,14
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-07-02,17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-07-11,16
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-07-19,17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-07-26,18
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-09-02,19
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-09-17,18
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-10-03,4
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-06-26,25
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-07-11,20
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-07-20,24
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-08-08,20
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-08-17,21
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-09-05,19
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-09-06,16
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-09-11,23
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-10-01,32
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-10-04,34
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-10-08,21
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-10-09,22
