ItemId,LocationId,BalanceDate,MA30
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-04,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-05,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-06,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-07,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-08,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-09,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-10,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-11,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-12,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-13,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-14,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-15,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-16,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-17,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-18,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-19,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-20,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-21,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-22,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-23,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-24,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-25,1.00
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,2020-05-26,1.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-20,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-21,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-22,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-23,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-24,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-25,2.00
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2020-05-26,2.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-19,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-20,9.00
